FL,PANAMA CITY,2021/08/20,55,117,130,156
FL,JACKSONVILLE,2021/08/20,35,110,45,100
FL,JACKSONVILLE BEACH,2021/08/20,64,113,84,93
IN,COLUMBUS,2021/08/20,31,157,38,68
TX,LAKE JACKSON,2021/08/20,56,113,116,100
FL,PANAMA CITY,2021/08/13,64,120,128,162
FL,MIDDLEBURG,2021/08/13,75,115,155,160
IN,COLUMBUS,2021/08/13,23,144,31,55
FL,PANAMA CITY,2021/08/06,56,110,101,140
FL,MIDDLEBURG,2021/08/06,83,117,147,149
FL,JACKSONVILLE,2021/08/06,46,111,49,100
KY,DANVILLE,2021/08/06,26,114,26,66
TX,MESQUITE,2021/08/06,100,190,38,43
FL,MIDDLEBURG,2021/07/30,75,115,113,103
FL,JACKSONVILLE,2021/07/30,41,110,45,100
TX,MESQUITE,2021/07/30,97,215,27,30
KY,DANVILLE,2021/07/23,7,110,0,54
TX,MESQUITE,2021/07/23,45,163,14,22
IN,COLUMBUS,2021/06/25,1,128,0,48
MO,KANSAS CITY,2021/06/25,11,114,0,0
TX,CONROE,2021/06/25,0,141,0,95
IN,COLUMBUS,2021/06/18,1,134,0,57
IL,WAUKEGAN,2021/05/21,8,111,20,80
IL,WAUKEGAN,2021/05/14,11,113,22,85
CO,WHEAT RIDGE,2021/04/23,15,118,23,82
MD,FREDERICK,2021/04/09,25,130,54,100
MD,FREDERICK,2021/04/02,23,122,44,100
IN,COLUMBUS,2021/02/26,11,135,0,53
WA,EVERETT,2021/02/26,7,236,8,59
WA,EVERETT,2021/02/19,5,117,9,59
LA,LAFAYETTE,2021/01/29,12,115,64,100
IN,COLUMBUS,2021/01/08,46,143,28,58
CA,MONROVIA,2021/01/01,4,213,0,0
IN,COLUMBUS,2021/01/01,46,144,40,74
IN,COLUMBUS,2020/12/25,48,134,29,70
CA,HEALDSBURG,2020/12/18,57,271,100,100
IN,COLUMBUS,2020/12/18,45,139,25,51
KY,DANVILLE,2020/12/18,40,113,36,61
IN,COLUMBUS,2020/12/11,49,151,41,67
KY,DANVILLE,2020/12/11,36,116,42,76
IN,COLUMBUS,2020/12/04,50,144,50,64
KY,DANVILLE,2020/12/04,35,135,37,72
KY,FORT THOMAS,2020/12/04,72,118,77,77
IN,COLUMBUS,2020/11/27,53,145,67,85
KY,DANVILLE,2020/11/27,31,135,23,74
KY,FORT THOMAS,2020/11/27,73,127,81,81
IN,COLUMBUS,2020/11/20,50,137,55,76
KY,DANVILLE,2020/11/20,23,134,22,80
KY,FORT THOMAS,2020/11/20,73,128,75,75
NV,RENO,2020/11/20,15,149,21,39
