Name,Type[9],Government type[10],County[1],Population(2020)[9],Population(2010)[1],Change (%),Land area(2020)[1],Land area(2020)[1],Population density
Name,Type[9],Government type[10],County[1],Population(2020)[9],Population(2010)[1],Change (%),sq mi,km2,Population density
Abbeville,City,Council-manager,Abbeville,"4,874","5,237",−6.9%,6.12,15.9,796.4/sq mi (307.5/km2)
Aiken,City,Council-manager,Aiken,"32,025","29,524",+8.5%,20.70,53.6,"1,547.1/sq mi (597.3/km2)"
Allendale,Town,Council,Allendale,"2,694","3,482",−22.6%,3.31,8.6,813.9/sq mi (314.2/km2)
Anderson,City,Council-manager,Anderson,"28,106","26,686",+5.3%,14.59,37.8,"1,926.4/sq mi (743.8/km2)"
Andrews,Town,Mayor-council,GeorgetownWilliamsburg,"2,575","2,861",−10.0%,2.20,5.7,"1,170.5/sq mi (451.9/km2)"
Arcadia Lakes,Town,Council,Richland,865,861,+0.5%,0.55,1.4,"1,572.7/sq mi (607.2/km2)"
Atlantic Beach,Town,Council-manager,Horry,195,334,−41.6%,0.16,0.4,"1,218.8/sq mi (470.6/km2)"
Awendaw,Town,Council,Charleston,"1,399","1,294",+8.1%,9.47,24.5,147.7/sq mi (57.0/km2)
Aynor,Town,Mayor-council,Horry,974,560,+73.9%,1.86,4.8,523.7/sq mi (202.2/km2)
Bamberg,City,Mayor-council,Bamberg,"3,076","3,607",−14.7%,3.58,9.3,859.2/sq mi (331.7/km2)
Barnwell,City,Council,Barnwell,"4,652","4,750",−2.1%,7.85,20.3,592.6/sq mi (228.8/km2)
Batesburg-Leesville,Town,Council-manager,LexingtonSaluda,"5,270","5,362",−1.7%,7.79,20.2,
Beaufort,City,Council-manager,Beaufort,"13,607","12,361",+10.1%,27.60,71.5,
Belton,City,Council,Anderson,0,"4,134",−100.0%,3.84,9.9,
Bennettsville,City,Council,Marlboro,0,"9,069",−100.0%,6.12,15.9,
Bethune,Town,Mayor-council,Kershaw,0,334,−100.0%,1.10,2.8,
Bishopville,City,Council,Lee,0,"3,471",−100.0%,2.34,6.1,
Blacksburg,Town,Council,Cherokee,0,"1,848",−100.0%,1.87,4.8,
Blackville,Town,Mayor-council,Barnwell,0,"2,406",−100.0%,8.93,23.1,
Blenheim,Town,Mayor-council,Marlboro,0,154,−100.0%,0.65,1.7,
Bluffton,Town,Council-manager,Beaufort,0,"12,530",−100.0%,51.30,132.9,
Blythewood,Town,Mayor-council,FairfieldRichland,0,"2,034",−100.0%,9.68,25.1,
Bonneau,Town,Mayor-council,Berkeley,0,487,−100.0%,3.01,7.8,
Bowman,Town,Mayor-council,Orangeburg,0,968,−100.0%,1.20,3.1,
Branchville,Town,Council,Orangeburg,0,"1,024",−100.0%,3.14,8.1,
Briarcliffe Acres,Town,Mayor-council,Horry,0,457,−100.0%,0.65,1.7,
Brunson,Town,Mayor-council,Hampton,0,554,−100.0%,1.02,2.6,
Burnettown,Town,Mayor-council,Aiken,0,"2,673",−100.0%,5.48,14.2,
Calhoun Falls,Town,Council,Abbeville,0,"2,004",−100.0%,3.39,8.8,
Camden,City,Council-manager,Kershaw,0,"6,838",−100.0%,10.68,27.7,
Cameron,Town,Mayor-council,Calhoun,0,424,−100.0%,3.12,8.1,
Campobello,Town,Council,Spartanburg,0,502,−100.0%,2.79,7.2,
Carlisle,Town,Council,Union,0,436,−100.0%,1.42,3.7,
Cayce,City,Council-manager,LexingtonRichland,0,"12,528",−100.0%,16.65,43.1,
Central,Town,Council,Pickens,0,"5,159",−100.0%,2.69,7.0,
Central Pacolet,Town,Mayor-council,Spartanburg,0,216,−100.0%,0.25,0.6,
Chapin,Town,Mayor-council,Lexington,0,"1,445",−100.0%,2.01,5.2,
Charleston,City,Mayor-council,BerkeleyCharleston,"150,227","120,083",+25.1%,108.98,282.3,"1,378.5/sq mi (532.2/km2)"
Cheraw,Town,Mayor-council,Chesterfield,0,"5,851",−100.0%,5.42,14.0,
Chesnee,City,Mayor-council,CherokeeSpartanburg,0,868,−100.0%,1.14,3.0,
Chester,City,Council,Chester,0,"5,607",−100.0%,3.27,8.5,
Chesterfield,Town,Mayor-council,Chesterfield,0,"1,472",−100.0%,4.05,10.5,
Clemson,City,Council,AndersonPickens,0,"13,905",−100.0%,7.44,19.3,
Clinton,City,Council-manager,Laurens,0,"8,490",−100.0%,9.88,25.6,
Clio,Town,Council,Marlboro,0,726,−100.0%,0.86,2.2,
