64,"Abbeville",5243,2578,11315197,4.37,19786,0.01,1200.1,76
1468,"Allendale",3307,1567,5948739,2.3,0,0,1439.8,76
2413,"Anderson",75702,34650,191880867,74.09,3293922,1.27,1021.8,75
2440,"Andrews",3903,1709,7780782,3,0,0,1299.2,76
4222,"Augusta-Richmond County, GA--SC",386787,165167,672162059,259.52,6897123,2.66,1490.4,75
4897,"Bamberg",3492,1526,7238001,2.79,0,0,1249.5,76
5194,"Barnwell",3949,1849,9375809,3.62,37819,0.01,1090.9,76
5518,"Batesburg-Leesville",5267,2403,14994938,5.79,127564,0.05,909.7,76
6031,"Beaufort--Port Royal",48807,19864,118887681,45.9,13054171,5.04,1063.3,76
6779,"Belton",5443,2646,13888537,5.36,45090,0.02,1015,76
6895,"Bennettsville",13006,4758,21712861,8.38,1278568,0.49,1551.4,76
7894,"Bishopville",5391,1712,5967131,2.3,0,0,2339.9,76
12970,"Camden",13546,6478,40708565,15.72,1288210,0.5,861.8,76
15508,"Charleston--North Charleston",548404,242594,759769589,293.35,29158991,11.26,1869.5,75
15670,"Charlotte, NC--SC",1249442,526435,1920454942,741.49,91632984,35.38,1685,75
15994,"Cheraw",8160,3704,16307311,6.3,110596,0.04,1296,76
16140,"Chesnee",3003,1380,10751856,4.15,27531,0.01,723.4,76
16183,"Chester",9351,4233,17920094,6.92,12333,0,1351.5,76
18046,"Clinton",11176,4663,23812166,9.19,100428,0.04,1215.6,76
18154,"Clover",6513,2629,14308216,5.52,29347,0.01,1178.9,76
18964,"Columbia",549777,233477,984258969,380.02,15816560,6.11,1446.7,75
23446,"Denmark",3781,1600,7027466,2.71,0,0,1393.5,76
24202,"Dillon",9777,4160,18560884,7.17,46676,0.02,1364.3,76
26146,"Edgefield",4562,1137,7071169,2.73,47295,0.02,1670.9,76
30061,"Florence",89557,39135,184022610,71.05,1356520,0.52,1260.5,75
32140,"Gaffney",20844,9205,48030432,18.54,144009,0.06,1124,76
32653,"Gastonia, NC--SC",169495,73115,359056401,138.63,2093517,0.81,1222.6,75
33031,"Georgetown",12320,5581,26462813,10.22,1246311,0.48,1205.8,76
35461,"Greenville",400492,175798,829432086,320.25,6911588,2.67,1250.6,75
35596,"Greenwood",42103,18610,90743902,35.04,648767,0.25,1201.7,76
36649,"Hampton",4540,2085,14559608,5.62,0,0,807.6,76
36798,"Hardeeville",2957,1081,7548802,2.91,862,0,1014.5,76
37405,"Hartsville",15125,6931,32452320,12.53,431497,0.17,1207.1,76
39079,"Hilton Head Island",68998,47033,175137093,67.62,7770964,3,1020.4,75
39808,"Honea Path",3505,1773,7784826,3.01,4882,0,1166.1,76
45289,"Kingstree",6095,2817,13831492,5.34,0,0,1141.3,76
46612,"Lake City",8496,3653,18234705,7.04,19727,0.01,1206.7,76
46918,"Lake Murray North Shore",3626,1702,14462577,5.58,56764,0.02,649.4,76
47557,"Lancaster",23979,10446,61665834,23.81,77921,0.03,1007.1,76
47665,"Landrum--NC",4239,2413,11663968,4.5,15623,0.01,941.3,76
48151,"Laurens",10336,4887,19718317,7.61,0,0,1357.6,76
54037,"Manning",4998,2228,10476346,4.04,26703,0.01,1235.6,76
54685,"Marion",7464,3328,11606227,4.48,0,0,1665.6,76
55603,"Mauldin--Simpsonville",120577,47649,216429262,83.56,1361479,0.53,1442.9,75
60598,"Mullins",5512,2608,10025694,3.87,0,0,1423.9,76
60895,"Myrtle Beach--Socastee--NC",215304,171688,493060462,190.37,9357919,3.61,1131,75
61894,"Newberry",12046,5254,23619251,9.12,26999,0.01,1320.9,76
65701,"Orangeburg",33506,14705,82056401,31.68,696789,0.27,1057.6,76
66835,"Pageland",4100,1748,13254419,5.12,11618,0,801.2,76
67996,"Pawleys Island",11532,8424,33829722,13.06,118929,0.05,882.9,76
74854,"Ridgeland",5301,1680,14157566,5.47,38078,0.01,969.8,76
75745,"Rock Hill",104996,44687,247650267,95.62,1441094,0.56,1098.1,75
78526,"Saluda",3528,1326,5694047,2.2,0,0,1604.7,76
80671,"Seneca",26054,12369,85941781,33.18,2335363,0.9,785.2,76
83548,"Spartanburg",180786,78962,492179513,190.03,7837873,3.03,951.3,75
85708,"Sumter",73107,31492,170128090,65.69,1236648,0.48,1113,75
85775,"Sun City Hilton Head",12555,7499,22672494,8.75,0,0,1434.2,76
86315,"Tabor City, NC--SC",3834,1168,11253744,4.35,0,0,882.4,76
89488,"Union",10033,5169,24096411,9.3,50374,0.02,1078.4,76
91513,"Walterboro",9502,4347,22203633,8.57,29424,0.01,1108.4,76
96508,"Winnsboro",5141,2582,10005243,3.86,0,0,1330.8,76
97102,"Woodruff",4298,1926,8739766,3.37,9395,0,1273.7,76
97777,"York",7931,3382,16115269,6.22,120965,0.05,1274.6,76
