Rank,City,Population(2011)[3],Population(2001),State or union territory
1,Mumbai,"12,442,373","11,978,450",Maharashtra
2,Delhi,"11,007,835","9,879,172",Delhi
3,Bangalore,"8,425,970","4,301,326",Karnataka
4,Hyderabad,"6,809,970","3,637,483",Telangana
5,Ahmedabad,"5,570,585","3,520,085",Gujarat
6,Chennai,"4,681,087","4,343,645",Tamil Nadu
7,Kolkata,"4,486,679","4,572,876",West Bengal
8,Surat,"4,467,797","2,433,835",Gujarat
9,Pune,"3,115,431","2,538,473",Maharashtra
10,Jaipur,"3,046,163","2,322,575",Rajasthan
11,Lucknow,"2,815,601","2,185,927",Uttar Pradesh
12,Kanpur,"2,767,031","2,551,337",Uttar Pradesh
13,Nagpur,"2,405,665","2,052,066",Maharashtra
14,Indore,"1,960,631","1,474,968",Madhya Pradesh
15,Thane,"1,818,872","1,262,551",Maharashtra
16,Bhopal,"1,795,648","1,437,354",Madhya Pradesh
17,Visakhapatnam[4],"1,730,320","1,345,938",Andhra Pradesh
18,Pimpri-Chinchwad,"1,727,692","1,012,472",Maharashtra
19,Patna,"1,684,222","1,366,444",Bihar
20,Vadodara,"1,670,806","1,306,227",Gujarat
21,Ghaziabad,"1,648,643","968,256",Uttar Pradesh
22,Ludhiana,"1,618,879","1,398,467",Punjab
23,Agra,"1,585,704","1,275,134",Uttar Pradesh
24,Nashik,"1,486,053","1,077,236",Maharashtra
25,Ranchi,"1,456,528","1,079,968",Jharkhand
26,Faridabad,"1,414,050","1,055,938",Haryana
27,Meerut,"1,305,429","1,039,405",Uttar Pradesh
28,Rajkot,"1,286,678","967,476",Gujarat
29,Kalyan-Dombivli,"1,247,327","1,193,512",Maharashtra
30,Vasai-Virar,"1,222,390","693,350",Maharashtra
31,Varanasi,"1,201,815","1,091,918",Uttar Pradesh
32,Srinagar,"1,180,570","898,440",Jammu and Kashmir
33,Aurangabad,"1,175,116","873,311",Maharashtra
34,Dhanbad,"1,162,472","1,065,327",Jharkhand
35,Gurgaon,"1,153,000","876,824",Haryana
36,Amritsar,"1,132,383","966,862",Punjab
37,Navi Mumbai,"1,120,547","704,002",Maharashtra
38,Allahabad,"1,112,544","975,393",Uttar Pradesh[5]
39,Howrah,"1,077,075","1,007,532",West Bengal
40,Gwalior,"1,069,276","827,026",Madhya Pradesh
41,Jabalpur,"1,055,525","932,484",Madhya Pradesh
42,Coimbatore,"1,050,721","930,882",Tamil Nadu
43,Vijayawada,"1,034,358","851,282",Andhra Pradesh
44,Jodhpur,"1,033,918","851,051",Rajasthan
45,Salem,"1,032,336","696,760",Tamil Nadu
46,Madurai,"1,017,865","928,869",Tamil Nadu
47,Raipur,"1,010,087","605,747",Chhattisgarh
48,Kota[6],"1,001,694","694,316",Rajasthan
49,Chandigarh,"960,787","808,515",Chandigarh
50,Guwahati,"957,352","809,895",Assam
51,Solapur,"951,558","872,478",Maharashtra
52,Hubli–Dharwad,"943,788","786,195",Karnataka
53,Mysore[7][8][9],"920,550","762,408",Karnataka
54,Tiruchirappalli[10],"916,674","752,066",Tamil Nadu
55,Bareilly,"898,167","718,395",Uttar Pradesh
56,Aligarh,"889,810","672,315",Uttar Pradesh
57,Tiruppur,"877,778","344,543",Tamil Nadu
58,Moradabad,"872,575","669,087",Uttar Pradesh
59,Jalandhar,"862,196","706,043",Punjab
60,Bhubaneswar,"837,737","648,032",Odisha
61,Warangal[11][12],"830,281","530,636",Telangana
62,Mira-Bhayandar,"814,655","520,388",Maharashtra
63,Jalgaon,"798,514","462,280",Maharashtra
64,Guntur[13],"670,073","514,461",Andhra Pradesh
65,Thiruvananthapuram,"752,490","368,618",Kerala
66,Bhiwandi,"711,329","598,741",Maharashtra
67,Saharanpur,"703,345","455,754",Uttar Pradesh
68,Gorakhpur,"671,048","622,701",Uttar Pradesh
69,Bikaner,"647,804","529,690",Rajasthan
70,Amravati,"646,801","549,510",Maharashtra
71,Noida,"642,381","305,058",Uttar Pradesh
72,Jamshedpur,"631,364","573,096",Jharkhand
73,Bhilai,"625,697","556,366",Chhattisgarh
74,Cuttack,"606,007","534,654",Odisha
75,Firozabad,"603,797","279,102",Uttar Pradesh
76,Kochi,"601,574","596,473",Kerala
77,Nellore[14][15],"558,548","378,428",Andhra Pradesh
78,Bhavnagar,"593,768","511,085",Gujarat
79,Dehradun,"578,420","426,674",Uttarakhand
80,Durgapur,"566,937","493,405",West Bengal
81,Asansol,"564,491","475,439",West Bengal
